[,,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[Sample product,,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Type'} 
[Sample product,Lipstick,-1,10,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,10,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,11,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,11,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,21,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,21,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,26,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,-1,26,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Lipstick,5,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=5, family=LIPS, range=BUDGET}
[Sample product,Lipstick,5,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=5, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,5,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=5, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,5,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=5, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,5,21,False] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,5,21,True] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,5,26,False] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,5,26,True] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,11,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=BUDGET}
[Sample product,Lipstick,11,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,11,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,11,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=PROFESSIONAL}
[Sample product,Lipstick,11,21,False] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,11,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=QUEEN}
[Sample product,Lipstick,11,26,False] => Response{productId=0, statusCode=-1, message='Error - failed quality check for Queen Range'} 
[Sample product,Lipstick,11,26,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Lipstick', weight=11, family=LIPS, range=QUEEN}
[Sample product,Eyeshadow,-1,10,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,10,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,11,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,11,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,21,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,21,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,26,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,-1,26,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Eyeshadow,5,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,5,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,5,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,5,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,5,21,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,5,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,5,26,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,5,26,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=5, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,11,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,11,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,11,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,11,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,11,21,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,11,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=PROFESSIONAL}
[Sample product,Eyeshadow,11,26,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=BUDGET}
[Sample product,Eyeshadow,11,26,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Eyeshadow', weight=11, family=EYES, range=PROFESSIONAL}
[Sample product,Mascara,-1,10,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,10,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,11,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,11,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,21,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,21,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,26,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,-1,26,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Mascara,5,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=BUDGET}
[Sample product,Mascara,5,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,5,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=BUDGET}
[Sample product,Mascara,5,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,5,21,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,5,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,5,26,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,5,26,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=5, family=LASHES, range=QUEEN}
[Sample product,Mascara,11,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=BUDGET}
[Sample product,Mascara,11,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,11,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=BUDGET}
[Sample product,Mascara,11,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,11,21,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,11,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,11,26,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=PROFESSIONAL}
[Sample product,Mascara,11,26,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Mascara', weight=11, family=LASHES, range=QUEEN}
[Sample product,Blusher,-1,10,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,10,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,11,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,11,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,21,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,21,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,26,False] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,-1,26,True] => Response{productId=0, statusCode=-3, message='Weight error'} 
[Sample product,Blusher,5,10,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=BUDGET}
[Sample product,Blusher,5,10,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=PROFESSIONAL}
[Sample product,Blusher,5,11,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=BUDGET}
[Sample product,Blusher,5,11,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=PROFESSIONAL}
[Sample product,Blusher,5,21,False] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=BUDGET}
[Sample product,Blusher,5,21,True] => Response{productId=0, statusCode=0, message='Product Successfully Added'} Product{name='Sample product', type='Blusher', weight=5, family=SKIN, range=PROFESSIONAL}
